Name,Province,Select,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
VANCOUVER INTL A,BRITISH COLUMBIA,Y,1108395,51442,71892,YVR,49.19,-123.18,491141000,-1231102000,4.3,2013,2022,2013,2022,2013,2022,,
VANCOUVER INT'L A,BRITISH COLUMBIA,Y,1108447,889,,YVR,49.2,-123.18,491142000,-1231055000,4.3,1937,2013,1953,2013,1937,2013,1937,2013
WHITEHORSE A,YUKON TERRITORY,Y,2101300,1617,71964,YXY,60.71,-135.07,604234200,-1350407800,706.2,1942,2012,1953,2012,1942,2012,1942,2007
WHITEHORSE A,YUKON TERRITORY,Y,2101303,50842,71964,YXY,60.71,-135.07,604234000,-1350402000,706.2,2012,2022,2012,2022,2012,2022,,
YELLOWKNIFE A,NORTHWEST TERRITORIES,Y,2204100,1706,71936,YZF,62.46,-114.44,622746000,-1142625000,205.7,1942,2013,1953,2013,1942,2013,1942,2007
YELLOWKNIFE A,NORTHWEST TERRITORIES,Y,2204101,51058,71936,YZF,62.46,-114.44,622747000,-1142625000,205.7,2013,2022,2013,2022,2013,2022,,
IQALUIT A,NUNAVUT,Y,2402590,1758,71909,YFB,63.75,-68.55,634500000,-683300000,33.5,1946,2014,1953,2014,1946,2008,1946,2007
IQALUIT A,NUNAVUT,Y,2402596,52079,,YFB,63.76,-68.56,634524000,-683322000,33.5,2014,2022,2014,2022,2018,2022,,
CALGARY INTL A,ALBERTA,Y,3031092,50430,71877,YYC,51.12,-114.01,510721000,-1140048000,1099.1,2012,2022,2012,2022,2012,2022,,
CALGARY INT'L A,ALBERTA,Y,3031093,2205,71877,YYC,51.11,-114.02,510650000,-1140113000,1084.1,1881,2012,1953,2012,1881,2012,1881,2012
SASKATOON DIEFENBAKER INT'L A,SASKATCHEWAN,Y,4057120,3328,71866,YXE,52.17,-106.72,521000000,-1064300000,504.1,1892,2012,1953,2012,1892,2012,1892,2007
SASKATOON INTL A,SASKATCHEWAN,Y,4057152,50091,,YXE,52.17,-106.7,521015000,-1064200000,504.1,2012,2022,2012,2022,2018,2022,,
WINNIPEG RICHARDSON INT'L A,MANITOBA,Y,5023222,3698,71852,YWG,49.92,-97.23,495500000,-971400000,238.7,1938,2013,1953,2013,1938,2008,1938,2007
WINNIPEG INTL A,MANITOBA,Y,5023227,51097,,YWG,49.91,-97.24,495436000,-971424000,238.7,2013,2022,2013,2022,2018,2022,,
TORONTO INTL A,ONTARIO,Y,6158731,51459,71624,YYZ,43.68,-79.63,434036000,-793750000,173.4,2013,2022,2013,2022,2013,2022,,
TORONTO LESTER B. PEARSON INT'L A,ONTARIO,Y,6158733,5097,71624,YYZ,43.68,-79.63,434038000,-793750000,173.4,1937,2013,1953,2013,1937,2013,1937,2013
MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,QUEBEC,Y,7025250,5415,71627,YUL,45.47,-73.75,452800000,-734500000,35.97,1941,2013,1953,2013,1941,2013,1941,2013
MONTREAL INTL A,QUEBEC,Y,7025251,51157,71627,YUL,45.47,-73.74,452814000,-734427000,36,2013,2022,2013,2022,2013,2022,,
MONCTON A,NEW BRUNSWICK,Y,8103200,6207,71705,YQM,46.11,-64.68,460619100,-644101700,70.7,1939,2012,1953,2012,1939,2012,1939,2012
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,NEW BRUNSWICK,Y,8103201,50309,71705,YQM,46.11,-64.68,460644000,-644043000,70.7,2012,2022,2012,2022,2012,2022,,
HALIFAX STANFIELD INT'L A,NOVA SCOTIA,Y,8202250,6358,71395,YHZ,44.88,-63.5,445248060,-633000050,145.4,1953,2012,1961,2012,1953,2012,1953,2012
HALIFAX STANFIELD INT'L A,NOVA SCOTIA,Y,8202251,50620,71395,YHZ,44.88,-63.51,445252000,-633031000,145.4,2012,2022,2012,2022,2012,2022,,
CHARLOTTETOWN A,PRINCE EDWARD ISLAND,Y,8300300,6526,71706,YYG,46.29,-63.13,461719020,-630743070,48.8,1943,2012,1953,2012,1943,2012,1943,2012
CHARLOTTETOWN A,PRINCE EDWARD ISLAND,Y,8300301,50621,71706,YYG,46.29,-63.12,461721000,-630709000,50.9,2012,2022,2012,2022,2012,2022,,
ST. JOHN'S INTL A,NEWFOUNDLAND,Y,8403505,50089,71801,YYT,47.62,-52.75,473707000,-524509000,140.5,2012,2022,2012,2022,2012,2022,,
ST JOHN'S A,NEWFOUNDLAND,Y,8403506,6720,71801,YYT,47.62,-52.74,473720000,-524434000,140.5,1942,2012,1953,2012,1942,2012,1942,2012
